,id,tweet,username,domain,label_multi,label_binary
0,1298757190677913600,"Formulated with Dragon Fruit and Passion Fruit Extracts and Niacinamide, the Limited Edition 2-in-1 Color Mystery Mask moisturizes to enhance the look of brightness by supporting your skin's moisture barrier.  https://t.co/Ch6bXb2AK4  https://t.co/Sy73SzxuCU",arbonne,cosmetics,not_green,not_green
1,934482063373283328,Skin Active: how to create an effective skin care range using 96% natural ingredients @GarnierFR #MonthlyDigest  https://t.co/GUoBAU8t5W  https://t.co/TEPrkCZkp8,loreal,cosmetics,explicit_claim,green_claim
2,820281365761556480,"Join us tomorrow at #Mumbai #Marathon, for the education of Domestic/Household #waste segregation. #KnowBeforeYouThrow  https://t.co/UElfDFckdI",bajajelectrical,electronics,implicit_claim,green_claim
3,1136347270109179904,"Just CBD. Just argan. Our blend of 100% organic Argan Oil and full-spectrum CBD Oil nourishes and relieves the look of fatigued skin. Amino acids, omega fatty acids, and vital phytonutrients provide a visible solution for stressed skin while promoting elasticity and hydration.  https://t.co/w1HNwLkGTN",josie_maran,cosmetics,explicit_claim,green_claim
4,1125037437326168066,Make them do a double take with this #makeup power pair: #DoubleWear Stay-in-Place Foundation and #PureColorEnvy Lipstick in Impassioned. Shop both of these best-sellers now:  https://t.co/Tn6hR38fZ3 #LipsToEnvy #DoubleWearOrNothing  https://t.co/ZVZ8KK5rNq,esteelauder,cosmetics,not_green,not_green
5,1082768600962863104,"In partnership with @AdaptiveBiotech, we're expanding our efforts to decode the human immune system:  https://t.co/EnpTifqyQA #JPM19",microsoft,electronics,not_green,not_green
6,1025003243443761153,Experience 24-karat magic with #SupremeSkin ✨ Our NEW Revitalizing Supreme+ SPF15 creme features an exclusive #Moringa Extract to help skin optimize its natural renewal and cellular potential:  https://t.co/1kdsD155MF #UnlocktheBeautyofNow  https://t.co/x9jY1Bz30N,esteelauder,cosmetics,not_green,not_green
7,1204534035667656705,"Deep hydration, enchanting fragrance, and real botanicals endorsed by  the Royal Botanic Gardens, Kew @KewGardens, what more could you ask for? 🥥 #HerbalEssences #PlantPowerInEveryShower  https://t.co/vJP4AjoDG8",herbalessences,cosmetics,implicit_claim,green_claim
8,1114943680190853120,"Clean, green, never mean 💚 We try to stay as green as possible for Mother Earth and use recyclable plastics and shipping materials whenever possible  ♻️  https://t.co/w85CWe6ijy",bioclarity,cosmetics,explicit_claim,green_claim
9,1206725732174614529,"The Herbal Detox Tea is caffeine-free so you can drink it any time of day and the Digestion Plus contains 3 billion CFUs of probiotics to support optimal digestion. Get these as part of the Blockbuster ASVP, available until Jan. 14!  https://t.co/E9s9uUaZ31  https://t.co/o9mG5xRUcz",arbonne,cosmetics,not_green,not_green
10,1116426194973536256,"The bareMinerals BLEMISH RESCUE collection has a blemish-busting mineral blend of Zinc, Sulfur, and Kaolin Clay- all of which work together to mattify oily skin and purify pores. #CleanBeauty #SephoraInJCP #SiJCP @Sephora  https://t.co/c69M1p8xPr",bareminerals,cosmetics,not_green,not_green
11,1093623040313831428,"Scratching your head while debating whether to stick to .NET framework or move on to .NET Core? Clear all your doubts, Read this blog:  https://t.co/pJrGK2CFCl  #Migration #Technology  https://t.co/XVg8rV2uMA",clarion_tech,electronics,not_green,not_green
12,1322614414634344450,"Do you want to know what’s scary? The trash we discard pollutes our land, clogs our waterways, depletes our natural resources, and contaminates the air we breathe. 🗑🎃 #Halloween  https://t.co/kRwDvcuL95",microsoft,electronics,implicit_claim,green_claim
13,1148023590148853762,"Beauty backed by science! 🧪🥼 The botancials in our bio:renew products are authenticated by @kewgardens, which means you can feel great about what you're putting in your hair. #HerbalEssences #KewGardens #HairHealth  https://t.co/GJg9xboskR",herbalessences,cosmetics,explicit_claim,green_claim
14,1204334251598069760,"Turn your shower into a Mediterranean delight, when you use our soap-free Olive Shower Gel enriched with Community Trade organic olive oil from Italy. It will leave your skin feeling soft, cleansed and gently scented with a fresh and fragrant aroma.  https://t.co/ysmRA6HmWQ",thebodyshopsa,cosmetics,explicit_claim,green_claim
15,1164537811430715392,"Help us reach beyond our #LGoal of teaching 5.5 million students the Sustainable Happiness Skills!   Share your #Day1 photo and goal for the school year. Every share with #LGoals and #Day1, LG will donate $1 to Experience Happiness partners @InnerExplorer and @projecthappy!  https://t.co/dKxqKiss33",lgus,electronics,not_green,not_green
16,1023961470021853184,We received @CradletoCradle silver certification for our #sustainability commitment! These 5 96% naturally derived products are a must have in your routine! Which #skincare line is your favorite?  https://t.co/7nt78bv6nz,garnierusa,cosmetics,explicit_claim,green_claim
17,857231687784202242,"Flawless skin slay on @jadeywadey180 using our Fit Me Concealer for a natural, fresh finish. ✨  https://t.co/eiwRxmklBO  https://t.co/OZA5mEmcsx",maybelline,cosmetics,not_green,not_green
18,826852722129432577,#Sustainability Matters #WhirlpoolWednesday  https://t.co/3DSwd3xK7w,whirlpoolcorp,electronics,implicit_claim,green_claim
19,1286768139670138880,☑️ All-natural ☑️ Organic ☑️ Moisturizing  ☑️ Nourishing   Thanks @gearpatrol for showing our SPF some love!    https://t.co/XXIcFza5Oz  #sunscreen #spf,josie_maran,cosmetics,explicit_claim,green_claim
20,959889918444163073,New product 'WellnessKids Multivitamins and Minerals' added to Orinet independent Oriflame Consultants! - £9.95 -  https://t.co/IcwUehTC1t  https://t.co/roRlkW0otA,oriflameuk,cosmetics,not_green,not_green
21,875458836785635328,"This was the last we saw of Sergey pointing at @andreward. Right after Andre told him not to point at him, he left! Hmm #WardKovalev  https://t.co/9PvsezbFsw",monsterproducts,electronics,not_green,not_green
22,1181214242046906369,"Want easy, natural-looking brows at the blink of an eye? Try NEW #ColorStay Brow Shape &amp; Glow ✨ dual-ended micro marker and highlighter:  https://t.co/87wWt3SKek  https://t.co/n2G0OMMuE0",revlon,cosmetics,not_green,not_green
23,1217518239565172737,Create the ideal romantic eye look with our ✨new✨ Send Roses Eye Palette:  https://t.co/4ySlxdjkaK.😍  https://t.co/DD3oGBAMwG,avoninsider,cosmetics,not_green,not_green
24,861687694711238657,Car amplifiers FAQ - we answer #carsterio amp questions  https://t.co/7MnVTelDku  https://t.co/0860Yj99Pl,crutchfield,electronics,not_green,not_green
25,824240421400432640,"#MakeupTip: For bold but natural lashes, make them thicker at their base and naturally taper toward their ends.  https://t.co/8xIFeJgyKo  https://t.co/PpVQPigb3M",clinique,cosmetics,not_green,not_green
26,1169645629519384576,"With the emerging popularity of shared mobility and in-cabin tech, a car’s value is now being measured by Experiences per Mile. #HARMAN’s recent article outlines how OEMs can better connect with their customers by using cutting-edge automotive solutions:  https://t.co/sFqrnn67jd  https://t.co/Q9H9JoF3HK",harman,electronics,not_green,not_green
27,1151114263659995138,"Achieve a red-carpet ready look in seconds with NEW #PureColorDesire Matte Lipstick. Longwearing with a lightweight feel, it’s #lipstick that’s made to last long into the after party. Shop now:  https://t.co/fgSTwcR27t  https://t.co/tiOOkT4vnv",esteelauder,cosmetics,not_green,not_green
28,1026573636851953675,*sips water* Manic Mondays are now gentler 😇 #GoGentle #premiumhair #micellarwater  https://t.co/M9Tj7flM14,pantene,cosmetics,not_green,not_green
29,1320026264359620608,"Our commitment to being more sustainable for the planet continues. Our brands Pantene, Herbal Essences, Head &amp; Shoulders, and Aussie launched refillable aluminum bottles to forever change the way we buy and use shampoo.  https://t.co/Z1uwFRKBUR #RefillTheGood #ItsOurHome  https://t.co/HF92MnQDWX",proctergamble,cosmetics,explicit_claim,green_claim
30,821132439275892741,Finish off a relaxing long weekend with silky hydrated hair using #WholeBlends w Coconut Water &amp; Vanilla Milk Extracts. *sigh* 😴 #MaskMonday  https://t.co/zfHfs50g3I,garnierusa,cosmetics,implicit_claim,green_claim
31,1257686500487188481,"Today is Giving Tuesday, a day to unite in support of communities and organizations vital to their success.  Join Aveda and give at  https://t.co/0dFHHd860P, by adding a donation during checkout at  https://t.co/nJjDmlTS2S, or by gifting Pure PrivilegeSM Points.  #avedacares  https://t.co/B5b6X0XISs",aveda,cosmetics,not_green,not_green
32,1310574930283683840,"""The peacock-shaped bottle is gold-plated and embellished with Swarovski crystals, naturally."" - @Allure_magazine    https://t.co/1obfhBuu5D",avoninsider,cosmetics,not_green,not_green
33,1086684665006776327,"Intense. Bold. Seductive. #EsteeBeautyDirector @violette_fr’s new #PureColorEnvy Paint-On Liquid LipColor in Naked was designed to create effortless, sleek sophistication with just one swipe. Shop now:  https://t.co/yEH4atRASR #EsteeLauderxViolette  https://t.co/WG44WzpNgY",esteelauder,cosmetics,not_green,not_green
34,1015641625907859456,Looking for a new way to roll with your friends this summer?  https://t.co/8mqB4x0d1F,bestbuy,electronics,not_green,not_green
35,1338559581287559175,"Get your gifts ready with 25% Off on purchases of 3+ more products. Use code GREEN25 Shop at:  https://t.co/s3O2bUYNl9 Straight forward formulas, the Organic Collection with Olive Oil and Aloe is made with fewer ingredients. *End of Sale: 12/14/2020 11:59 PM EST #OrganicFromAToZ  https://t.co/pB7CoBDUFh",mustelausa,cosmetics,explicit_claim,green_claim
36,1283129143417348096,Proud sponsor of #DownToEarthZacEfron — a journey for global sustainability with @ZacEfron. Now streaming on Netflix. #QC35 II  https://t.co/1hmc38A07t  https://t.co/RdQtkdyGGc,bose,electronics,implicit_claim,green_claim
37,996143141551042561,The Jabra Engage Series features all-day battery and a range up to 150m/490ft. Gain the mobility to deliver business calls more efficiently.   https://t.co/4O5JjiNZfS  https://t.co/0dSTTvrDsB,jabra_us,electronics,not_green,not_green
38,855490026439929858,#GirlsHackTheWorld! Our NE branch is sponsoring the @SophiaAcademyRI  #EarthDay event. #KMCares  https://t.co/c1kXujRKQk,konicaminoltaus,electronics,implicit_claim,green_claim
