Model A (Trained on target generator),Model B (Trained on alternative generators),"Model C (Pre-trained on alternative generators, fine-tuned on target generator)"
181.3052946501459,133.48241838857467,133.3134049597562
154.5862640094942,125.94695057569412,125.85198031076301
176.78076651970113,130.91374639897398,130.7810274345702
122.78325535829892,115.95147035444323,115.79723473800176
154.6612802335635,120.49108767734607,120.3243861062978
215.6189183026361,120.0539843376156,119.9249706587778
177.72996803180354,148.9405514281282,148.79725911871753
169.8440190508255,99.12678412016623,98.94088446080922
182.5444727444128,144.81046014015382,144.6554215233559
158.22013623950988,120.9308754043072,120.83656236028575
