Model A (Trained on target generator),Model B (Trained on alternative generators),"Model C (Pre-trained on alternative generators, fine-tuned on target generator)"
111.75555665566613,124.91799995708925,112.50790124028828
115.45542518879343,131.13164435700105,118.99959594004396
116.59815472913495,125.80284983384132,118.29835448302595
117.81526409305816,129.25398324377858,117.76597297186653
115.6280657011166,126.83393537904392,114.00481038928326
116.32779062717678,127.67313251501585,120.99498381941325
110.35551690950008,117.95505135451577,112.23239569032032
109.43780240501937,129.60948180143887,114.52264850152075
116.33118684078606,123.99302257601428,114.35718112426379
107.33777321716431,114.26944929427165,106.58788509900081
