Model A (Trained on target generator),Model B (Trained on alternative generators),"Model C (Pre-trained on alternative generators, fine-tuned on target generator)"
197.09741330805986,114.15072500361181,113.95293203955167
158.59177225218608,126.26883548692497,125.83686502877428
195.09340496878878,175.85480413391736,174.22873543253309
174.5356030033089,153.84852294979325,153.3661009095371
171.62631919533715,125.64804272513172,124.98975794304613
163.5721503930032,118.61818821093814,118.28584302739958
165.14682680942894,110.3033909548957,110.05134902364938
160.16875886098796,147.45244003078696,146.9046054214194
168.4419945390162,139.57836595425786,139.187183409799
192.95082805064055,148.77923299312607,148.6659514206297
