Model A (Trained on target generator),Model B (Trained on alternative generators),"Model C (Pre-trained on alternative generators, fine-tuned on target generator)"
127.6686190125289,125.79687901859242,121.26743306483249
126.34133044905528,120.1474931330164,114.90658877086791
128.20017620508898,131.73453334885315,124.9191081682198
129.28059428926377,135.94916753234983,128.16143082016683
121.21802736760556,111.58610028535027,109.41308529058982
127.36065679475495,120.41567956114642,117.19489188267806
122.52526448895196,121.01055251747401,117.89365112424751
121.94785369935977,134.77969292410478,128.74033177193337
129.09104527262073,132.89337546135556,126.60117178702502
132.88060173489876,129.63518820974704,125.12626452085033
